Row ID,Quantity,Discount,Shipping Cost,Order ID,Product ID,Ship Mode,Ship Date
1,3,0,2.033,MX-2015-SC2057582-42279,OFF-LA-4658,Standard Class,10/6/15
2,8,0,13.449,MX-2013-KW1657028-41562,FUR-FU-6238,Standard Class,10/20/13
3,2,0,9.627,MX-2013-KW1657028-41562,FUR-BO-4845,Standard Class,10/20/13
4,4,0,1.371,MX-2013-KW1657028-41562,OFF-BI-3720,Standard Class,10/20/13
5,2,0,3.787,MX-2013-KW1657028-41562,OFF-AR-5905,Standard Class,10/20/13
6,2,0,4.718,MX-2013-KW1657028-41562,OFF-EN-4446,Standard Class,10/20/13
7,2,0,4.108,MX-2014-DP1300018-41909,OFF-EN-4446,Standard Class,10/1/14
8,3,0,26.202,MX-2014-DP1300018-41909,TEC-MA-5003,Standard Class,10/1/14
9,4,0,6.863,MX-2014-DP1300018-41909,OFF-SU-4116,Standard Class,10/1/14
10,2,0,17.341,MX-2014-DP1300018-41909,TEC-AC-4186,Standard Class,10/1/14
11,3,0,1.134,MX-2014-DP1300018-41909,OFF-BI-6398,Standard Class,10/1/14
12,3,0,1.649,MX-2014-TB2125093-41703,OFF-FA-2955,Standard Class,3/12/14
13,4,0,16.065,MX-2014-TB2125093-41703,FUR-CH-4698,Standard Class,3/12/14
14,3,0,8.863,MX-2015-PK1891093-42271,OFF-EN-5034,Standard Class,10/1/15
15,4,0,6.203,MX-2015-JK1562518-42295,OFF-AR-6106,Standard Class,10/23/15
16,1,0,1.464,MX-2015-JK1562518-42295,OFF-FA-3022,Standard Class,10/23/15
17,2,0.4,1.602,US-2014-HE1480098-41816,OFF-EN-4926,Standard Class,7/1/14
18,7,0.4,27.77,US-2014-HE1480098-41816,FUR-FU-3941,Standard Class,7/1/14
19,2,0.4,2.137,US-2014-HE1480098-41816,OFF-EN-4440,Standard Class,7/1/14
20,3,0.4,1.38,US-2014-HE1480098-41816,OFF-EN-4906,Standard Class,7/1/14
21,4,0.2,48.165,MX-2014-JE1561082-41992,FUR-CH-4682,Standard Class,12/25/14
22,1,0,3.895,MX-2014-TB2105526-41941,TEC-AC-4174,Second Class,11/2/14
23,9,0,37.857,MX-2014-TB2105526-41941,OFF-SU-2967,Second Class,11/2/14
24,3,0.4,4,US-2015-DW1319598-42280,OFF-BI-2899,Standard Class,10/8/15
25,9,0.4,1.085,US-2013-SJ2021582-41543,FUR-FU-3928,First Class,9/29/13
26,2,0.002,16.777,MX-2015-SP2065082-42173,TEC-CO-4765,Standard Class,6/25/15
27,5,0,5.084,MX-2015-SP2065082-42173,OFF-ST-5688,Standard Class,6/25/15
28,7,0.4,9.465,US-2014-SC2005055-41783,OFF-BI-6383,Standard Class,5/31/14
29,4,0.4,1.091,US-2014-SC2005055-41783,OFF-FA-6208,Standard Class,5/31/14
30,4,0.4,5.923,US-2014-SC2005055-41783,TEC-PH-5262,Standard Class,5/31/14
31,2,0.4,1.843,US-2014-SC2005055-41783,OFF-AR-3488,Standard Class,5/31/14
32,5,0.4,16.245,US-2014-SC2005055-41783,OFF-AP-3582,Standard Class,5/31/14
33,8,0.402,80.281,US-2014-SC2005055-41783,TEC-CO-5998,Standard Class,5/31/14
34,1,0.4,1.931,US-2014-SC2005055-41783,OFF-AR-6118,Standard Class,5/31/14
35,14,0,21.216,MX-2015-DM1352582-42139,OFF-SU-4305,First Class,5/18/15
36,7,0,19.543,MX-2015-DM1352582-42139,OFF-SU-2980,First Class,5/18/15
37,4,0,21.756,MX-2015-DM1352582-42139,OFF-SU-4976,First Class,5/18/15
38,3,0,94.277,MX-2015-SC2044031-42189,FUR-TA-3757,Second Class,7/7/15
39,4,0,45.851,MX-2015-SC2044031-42189,FUR-BO-4865,Second Class,7/7/15
40,4,0,6.974,MX-2015-SC2044031-42189,OFF-FA-3060,Second Class,7/7/15
41,3,0.2,15.739,MX-2015-AR1082536-42347,OFF-SU-4327,Second Class,12/11/15
42,4,0,33.638,MX-2014-RW1969082-41807,TEC-PH-5273,Second Class,6/21/14
43,2,0,21.914,MX-2015-MT1781582-42306,TEC-MA-5548,Standard Class,11/2/15
44,2,0,44.076,MX-2015-MT1781582-42306,OFF-AP-4505,Standard Class,11/2/15
45,3,0,2.519,MX-2015-MT1781582-42306,TEC-AC-5216,Standard Class,11/2/15
46,3,0,55.024,MX-2015-LC1696018-42020,FUR-CH-5409,Same Day,1/17/15
47,5,0.2,10.187,US-2013-AS1024036-41391,OFF-ST-4108,Standard Class,5/2/13
48,2,0.202,14.245,US-2013-AS1024036-41391,TEC-CO-3703,Standard Class,5/2/13
49,2,0,2.04,MX-2012-SF2020018-41071,FUR-FU-3036,Standard Class,6/16/12
50,5,0,3.206,MX-2015-MG1820528-42130,OFF-FA-2946,Standard Class,5/10/15
51,4,0,3.356,MX-2012-KC1625582-41194,OFF-SU-6167,Second Class,10/17/12
52,3,0.402,9.81,US-2012-DW1348055-41000,TEC-CO-4574,Second Class,4/5/12
53,3,0.402,5.57,US-2012-DW1348055-41000,TEC-CO-3703,Second Class,4/5/12
54,3,0.4,50.128,US-2012-DW1348055-41000,OFF-AP-4964,Second Class,4/5/12
55,2,0.4,1.597,US-2012-DW1348055-41000,OFF-EN-3100,Second Class,4/5/12
56,3,0.2,1.892,MX-2014-DS1303036-41790,OFF-FA-6208,Standard Class,6/5/14
57,4,0.4,13.966,MX-2014-DS1303036-41790,FUR-BO-3630,Standard Class,6/5/14
58,5,0,447.657,MX-2012-JM1558082-41045,TEC-PH-5355,Second Class,5/19/12
59,3,0.4,1.578,US-2012-PW1924098-41144,OFF-AR-5913,Standard Class,8/27/12
60,9,0,28.183,MX-2014-DS1303018-41923,TEC-PH-5832,Standard Class,10/17/14
61,1,0,4.417,MX-2012-CC1222082-41202,OFF-AP-4719,Standard Class,10/26/12
62,3,0,220.767,MX-2015-MG1820518-42140,FUR-BO-5760,Same Day,5/16/15
63,3,0.4,83.77,US-2013-LC1688555-41512,FUR-BO-4862,Second Class,8/28/13
64,2,0,14.015,MX-2015-BT1153082-42077,OFF-BI-2902,First Class,3/17/15
65,5,0,9.931,MX-2015-BT1153082-42077,OFF-BI-2895,First Class,3/17/15
66,2,0.7,10.484,US-2013-RK1930055-41583,FUR-TA-4707,Standard Class,11/11/13
67,2,0,2.025,MX-2012-PB1921031-41059,OFF-PA-4007,Standard Class,6/4/12
68,5,0.002,18.263,MX-2012-PB1921031-41059,TEC-CO-4573,Standard Class,6/4/12
69,3,0,164.447,MX-2014-BM1114028-41843,FUR-BO-5950,Standard Class,7/29/14
70,6,0,10.098,MX-2014-BM1114028-41843,FUR-FU-3946,Standard Class,7/29/14
71,2,0.2,75.005,US-2015-TZ2144518-42259,FUR-TA-3765,Standard Class,9/19/15
72,2,0.7,7.317,US-2012-GZ1447036-40963,TEC-MA-5510,Standard Class,2/28/12
73,1,0,1.813,MX-2013-FM1421582-41321,OFF-SU-6181,Standard Class,2/21/13
74,5,0,4.939,MX-2013-FM1421582-41321,TEC-AC-5193,Standard Class,2/21/13
75,2,0,1.742,MX-2013-FM1421582-41321,OFF-BI-3737,Standard Class,2/21/13
76,5,0,9.463,MX-2013-FM1421582-41321,OFF-EN-4917,Standard Class,2/21/13
77,2,0.4,1.112,US-2015-LR16915101-42180,OFF-SU-4316,Standard Class,6/29/15
78,2,0.4,12.381,US-2015-LR16915101-42180,OFF-ST-6048,Standard Class,6/29/15
79,7,0.4,7.756,US-2015-LR16915101-42180,OFF-SU-4991,Standard Class,6/29/15
80,3,0.4,1.356,US-2012-KT1646598-41072,FUR-FU-6258,Standard Class,6/16/12
81,14,0.4,4.365,US-2012-KT1646598-41072,FUR-CH-5436,Standard Class,6/16/12
82,3,0.4,6.763,US-2012-KT1646598-41072,TEC-AC-4166,Standard Class,6/16/12
83,5,0.4,3.076,US-2012-KT1646598-41072,OFF-AR-3484,Standard Class,6/16/12
84,2,0,16.439,MX-2014-MW1822082-41815,OFF-ST-4080,Standard Class,7/1/14
85,5,0,7.596,MX-2014-MW1822082-41815,OFF-SU-4135,Standard Class,7/1/14
86,3,0,2.694,MX-2015-CS1235582-42026,OFF-PA-4471,Standard Class,1/27/15
87,8,0,10.711,MX-2015-PS1876082-42173,OFF-FA-5469,Standard Class,6/23/15
88,2,0.4,1.653,MX-2015-PS1876082-42173,FUR-FU-4043,Standard Class,6/23/15
89,3,0,14.507,MX-2013-SC2084582-41636,TEC-AC-5199,Standard Class,1/1/14
