Row ID,Order ID,Ship Date,Ship Mode,Product ID,Quantity,Discount,Shipping Cost
1,MX-2015-SC2057582-42279,42283,Standard Class,OFF-LA-4658,3,0,2.033
2,MX-2013-KW1657028-41562,41567,Standard Class,FUR-FU-6238,8,0,13.449
3,MX-2013-KW1657028-41562,41567,Standard Class,FUR-BO-4845,2,0,9.627
4,MX-2013-KW1657028-41562,41567,Standard Class,OFF-BI-3720,4,0,1.371
5,MX-2013-KW1657028-41562,41567,Standard Class,OFF-AR-5905,2,0,3.787
6,MX-2013-KW1657028-41562,41567,Standard Class,OFF-EN-4446,2,0,4.718
7,MX-2014-DP1300018-41909,41913,Standard Class,OFF-EN-4446,2,0,4.108
8,MX-2014-DP1300018-41909,41913,Standard Class,TEC-MA-5003,3,0,26.202
9,MX-2014-DP1300018-41909,41913,Standard Class,OFF-SU-4116,4,0,6.863
10,MX-2014-DP1300018-41909,41913,Standard Class,TEC-AC-4186,2,0,17.341
11,MX-2014-DP1300018-41909,41913,Standard Class,OFF-BI-6398,3,0,1.134
12,MX-2014-TB2125093-41703,41710,Standard Class,OFF-FA-2955,3,0,1.649
13,MX-2014-TB2125093-41703,41710,Standard Class,FUR-CH-4698,4,0,16.065
14,MX-2015-PK1891093-42271,42278,Standard Class,OFF-EN-5034,3,0,8.863
15,MX-2015-JK1562518-42295,42300,Standard Class,OFF-AR-6106,4,0,6.203
16,MX-2015-JK1562518-42295,42300,Standard Class,OFF-FA-3022,1,0,1.464
17,US-2014-HE1480098-41816,41821,Standard Class,OFF-EN-4926,2,0.4,1.602
18,US-2014-HE1480098-41816,41821,Standard Class,FUR-FU-3941,7,0.4,27.77
19,US-2014-HE1480098-41816,41821,Standard Class,OFF-EN-4440,2,0.4,2.137
20,US-2014-HE1480098-41816,41821,Standard Class,OFF-EN-4906,3,0.4,1.38
21,MX-2014-JE1561082-41992,41998,Standard Class,FUR-CH-4682,4,0.2,48.165
22,MX-2014-TB2105526-41941,41945,Second Class,TEC-AC-4174,1,0,3.895
23,MX-2014-TB2105526-41941,41945,Second Class,OFF-SU-2967,9,0,37.857
24,US-2015-DW1319598-42280,42285,Standard Class,OFF-BI-2899,3,0.4,4
25,US-2013-SJ2021582-41543,41546,First Class,FUR-FU-3928,9,0.4,1.085
26,MX-2015-SP2065082-42173,42180,Standard Class,TEC-CO-4765,2,0.002,16.777
27,MX-2015-SP2065082-42173,42180,Standard Class,OFF-ST-5688,5,0,5.084
28,US-2014-SC2005055-41783,41790,Standard Class,OFF-BI-6383,7,0.4,9.465
29,US-2014-SC2005055-41783,41790,Standard Class,OFF-FA-6208,4,0.4,1.091
30,US-2014-SC2005055-41783,41790,Standard Class,TEC-PH-5262,4,0.4,5.923
31,US-2014-SC2005055-41783,41790,Standard Class,OFF-AR-3488,2,0.4,1.843
32,US-2014-SC2005055-41783,41790,Standard Class,OFF-AP-3582,5,0.4,16.245
33,US-2014-SC2005055-41783,41790,Standard Class,TEC-CO-5998,8,0.402,80.281
34,US-2014-SC2005055-41783,41790,Standard Class,OFF-AR-6118,1,0.4,1.931
35,MX-2015-DM1352582-42139,42142,First Class,OFF-SU-4305,14,0,21.216
36,MX-2015-DM1352582-42139,42142,First Class,OFF-SU-2980,7,0,19.543
37,MX-2015-DM1352582-42139,42142,First Class,OFF-SU-4976,4,0,21.756
38,MX-2015-SC2044031-42189,42192,Second Class,FUR-TA-3757,3,0,94.277
39,MX-2015-SC2044031-42189,42192,Second Class,FUR-BO-4865,4,0,45.851
40,MX-2015-SC2044031-42189,42192,Second Class,OFF-FA-3060,4,0,6.974
41,MX-2015-AR1082536-42347,42349,Second Class,OFF-SU-4327,3,0.2,15.739
42,MX-2014-RW1969082-41807,41811,Second Class,TEC-PH-5273,4,0,33.638
43,MX-2015-MT1781582-42306,42310,Standard Class,TEC-MA-5548,2,0,21.914
44,MX-2015-MT1781582-42306,42310,Standard Class,OFF-AP-4505,2,0,44.076
45,MX-2015-MT1781582-42306,42310,Standard Class,TEC-AC-5216,3,0,2.519
46,MX-2015-LC1696018-42020,42021,Same Day,FUR-CH-5409,3,0,55.024
47,US-2013-AS1024036-41391,41396,Standard Class,OFF-ST-4108,5,0.2,10.187
48,US-2013-AS1024036-41391,41396,Standard Class,TEC-CO-3703,2,0.202,14.245
49,MX-2012-SF2020018-41071,41076,Standard Class,FUR-FU-3036,2,0,2.04
50,MX-2015-MG1820528-42130,42134,Standard Class,OFF-FA-2946,5,0,3.206
51,MX-2012-KC1625582-41194,41199,Second Class,OFF-SU-6167,4,0,3.356
52,US-2012-DW1348055-41000,41004,Second Class,TEC-CO-4574,3,0.402,9.81
53,US-2012-DW1348055-41000,41004,Second Class,TEC-CO-3703,3,0.402,5.57
54,US-2012-DW1348055-41000,41004,Second Class,OFF-AP-4964,3,0.4,50.128
55,US-2012-DW1348055-41000,41004,Second Class,OFF-EN-3100,2,0.4,1.597
56,MX-2014-DS1303036-41790,41795,Standard Class,OFF-FA-6208,3,0.2,1.892
57,MX-2014-DS1303036-41790,41795,Standard Class,FUR-BO-3630,4,0.4,13.966
58,MX-2012-JM1558082-41045,41048,Second Class,TEC-PH-5355,5,0,447.657
59,US-2012-PW1924098-41144,41148,Standard Class,OFF-AR-5913,3,0.4,1.578
60,MX-2014-DS1303018-41923,41929,Standard Class,TEC-PH-5832,9,0,28.183
61,MX-2012-CC1222082-41202,41208,Standard Class,OFF-AP-4719,1,0,4.417
62,MX-2015-MG1820518-42140,42140,Same Day,FUR-BO-5760,3,0,220.767
63,US-2013-LC1688555-41512,41514,Second Class,FUR-BO-4862,3,0.4,83.77
64,MX-2015-BT1153082-42077,42080,First Class,OFF-BI-2902,2,0,14.015
65,MX-2015-BT1153082-42077,42080,First Class,OFF-BI-2895,5,0,9.931
66,US-2013-RK1930055-41583,41589,Standard Class,FUR-TA-4707,2,0.7,10.484
67,MX-2012-PB1921031-41059,41064,Standard Class,OFF-PA-4007,2,0,2.025
68,MX-2012-PB1921031-41059,41064,Standard Class,TEC-CO-4573,5,0.002,18.263
69,MX-2014-BM1114028-41843,41849,Standard Class,FUR-BO-5950,3,0,164.447
70,MX-2014-BM1114028-41843,41849,Standard Class,FUR-FU-3946,6,0,10.098
71,US-2015-TZ2144518-42259,42266,Standard Class,FUR-TA-3765,2,0.2,75.005
72,US-2012-GZ1447036-40963,40967,Standard Class,TEC-MA-5510,2,0.7,7.317
73,MX-2013-FM1421582-41321,41326,Standard Class,OFF-SU-6181,1,0,1.813
74,MX-2013-FM1421582-41321,41326,Standard Class,TEC-AC-5193,5,0,4.939
75,MX-2013-FM1421582-41321,41326,Standard Class,OFF-BI-3737,2,0,1.742
76,MX-2013-FM1421582-41321,41326,Standard Class,OFF-EN-4917,5,0,9.463
77,US-2015-LR16915101-42180,42184,Standard Class,OFF-SU-4316,2,0.4,1.112
78,US-2015-LR16915101-42180,42184,Standard Class,OFF-ST-6048,2,0.4,12.381
79,US-2015-LR16915101-42180,42184,Standard Class,OFF-SU-4991,7,0.4,7.756
80,US-2012-KT1646598-41072,41076,Standard Class,FUR-FU-6258,3,0.4,1.356
81,US-2012-KT1646598-41072,41076,Standard Class,FUR-CH-5436,14,0.4,4.365
82,US-2012-KT1646598-41072,41076,Standard Class,TEC-AC-4166,3,0.4,6.763
83,US-2012-KT1646598-41072,41076,Standard Class,OFF-AR-3484,5,0.4,3.076
84,MX-2014-MW1822082-41815,41821,Standard Class,OFF-ST-4080,2,0,16.439
85,MX-2014-MW1822082-41815,41821,Standard Class,OFF-SU-4135,5,0,7.596
86,MX-2015-CS1235582-42026,42031,Standard Class,OFF-PA-4471,3,0,2.694
87,MX-2015-PS1876082-42173,42178,Standard Class,OFF-FA-5469,8,0,10.711
88,MX-2015-PS1876082-42173,42178,Standard Class,FUR-FU-4043,2,0.4,1.653
89,MX-2013-SC2084582-41636,41640,Standard Class,TEC-AC-5199,3,0,14.507
90,MX-2013-SC2084582-41636,41640,Standard Class,FUR-BO-3903,3,0.2,59.679
91,MX-2013-SC2084582-41636,41640,Standard Class,OFF-BI-4825,9,0,5.218
92,MX-2013-SC2084582-41636,41640,Standard Class,OFF-EN-3101,10,0,24.628
93,MX-2014-AJ1078082-41752,41756,Standard Class,OFF-PA-6609,5,0,4.098
94,MX-2014-AJ1078082-41752,41756,Standard Class,OFF-EN-5039,5,0,10.864
95,MX-2014-AJ1078082-41752,41756,Standard Class,OFF-FA-6208,2,0,2.827
96,MX-2012-KT1646518-41017,41023,Standard Class,FUR-BO-3895,7,0,55.573
97,MX-2012-KT1646518-41017,41023,Standard Class,TEC-AC-4151,2,0,7.18
98,MX-2012-AH1007593-41202,41206,Standard Class,OFF-ST-6060,3,0,5.685
99,US-2014-NW1840036-41859,41861,First Class,FUR-CH-5436,3,0.2,28.025
100,US-2014-NW1840036-41859,41861,First Class,OFF-PA-3992,6,0.2,18.581
101,MX-2014-JL1585051-41986,41991,Second Class,TEC-AC-5134,3,0,9.001
102,MX-2014-CG1204031-41977,41982,Standard Class,OFF-FA-6194,5,0,3.461
