Orderid,Orderdate,Priority,Returned,Customerid
AE-2012-PO8865138-41184,41184,Medium,No,PO-8865138
AE-2014-EB4110138-41926,41926,High,No,EB-4110138
AE-2014-MY7380138-42004,42004,High,Yes,MY-7380138
AE-2015-GH4665138-42351,42351,Medium,No,GH-4665138
AE-2015-JD5790138-42070,42070,Medium,No,JD-5790138
AE-2015-PG8820138-42313,42313,Critical,No,PG-8820138
AG-2012-AA6453-41020,41020,High,No,AA-6453
AG-2012-AC4203-40915,40915,Medium,No,AC-4203
AG-2012-AH2103-41133,41133,Medium,No,AH-2103
AG-2012-AJ7803-40978,40978,Medium,No,AJ-7803
AG-2012-AS2853-41235,41235,Medium,No,AS-2853
AG-2012-BC11253-41219,41219,Medium,No,BC-11253
AG-2012-BM17853-41052,41052,Critical,No,BM-17853
AG-2012-BM17853-41085,41085,Medium,No,BM-17853
AG-2012-CC23703-40970,40970,Medium,No,CC-23703
AG-2012-DB32103-41257,41257,Medium,No,DB-32103
AG-2012-DH36753-41136,41136,Medium,No,DH-36753
AG-2012-DK28353-41264,41264,Medium,No,DK-28353
AG-2012-EG39003-41262,41262,Low,No,EG-39003
AG-2012-JH59853-41214,41214,High,No,JH-59853
AG-2012-MW82203-41108,41108,Medium,No,MW-82203
AG-2012-MW82203-41268,41268,Medium,No,MW-82203
AG-2012-OT87303-41262,41262,Medium,No,OT-87303
AG-2012-RO97803-40964,40964,Critical,No,RO-97803
AG-2012-RS97653-41074,41074,Critical,No,RS-97653
AG-2012-TB112803-40909,40909,Medium,No,TB-112803
AG-2012-TH112353-40918,40918,Medium,No,TH-112353
AG-2012-TT110703-41133,41133,Medium,No,TT-110703
AG-2013-AA4803-41494,41494,Medium,No,AA-4803
AG-2013-BP12303-41486,41486,Medium,No,BP-12303
AG-2013-CC24303-41517,41517,Medium,No,CC-24303
AG-2013-CP23403-41422,41422,Medium,No,CP-23403
AG-2013-DC32853-41506,41506,High,No,DC-32853
AG-2013-GH44103-41604,41604,Medium,No,GH-44103
AG-2013-KF62853-41594,41594,Medium,No,KF-62853
AG-2013-LC70503-41535,41535,Medium,No,LC-70503
AG-2013-LM70653-41352,41352,Medium,No,LM-70653
AG-2013-LM70653-41618,41618,Medium,No,LM-70653
AG-2013-MP74703-41495,41495,Medium,No,MP-74703
AG-2013-MV81903-41587,41587,Medium,No,MV-81903
AG-2013-PF91653-41608,41608,Critical,No,PF-91653
AG-2013-PO88653-41634,41634,High,Yes,PO-88653
AG-2013-RB95703-41278,41278,High,No,RB-95703
AG-2013-SZ100353-41413,41413,Medium,No,SZ-100353
AG-2013-TS115053-41607,41607,Medium,No,TS-115053
AG-2014-AG7653-41731,41731,Medium,No,AG-7653
AG-2014-AH100753-41760,41760,High,No,AH-100753
AG-2014-AR3453-41674,41674,Medium,No,AR-3453
AG-2014-BO14253-41874,41874,High,No,BO-14253
AG-2014-BT14853-41912,41912,High,No,BT-14853
AG-2014-CM21603-41755,41755,Medium,Yes,CM-21603
AG-2014-CP20853-41889,41889,Critical,Yes,CP-20853
AG-2014-CS18603-41780,41780,High,No,CS-18603
