Product_id,Product_name,Retail price,Manufacture cost,Sub_category_id
FUR-BO-3174,"Atlantic Metals Mobile 2-Shelf Bookcases, Custom Colors",240.97,171.09,5
FUR-BO-3175,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",260.98,193.13,5
FUR-BO-3176,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",280.98,196.69,5
FUR-BO-3177,"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",300.98,210.69,5
FUR-BO-3409,Bestar Classic Bookcase,99.99,80.99,5
FUR-BO-3615,"Bush 3-Shelf Cabinet, Metal",95.22,95.22,5
FUR-BO-3616,"Bush 3-Shelf Cabinet, Mobile",97.26,78.80,5
FUR-BO-3617,"Bush 3-Shelf Cabinet, Pine",96.48,61.76,5
FUR-BO-3618,"Bush 3-Shelf Cabinet, Traditional",95.58,92.72,5
FUR-BO-3621,"Bush Andora Bookcase, Maple/Graphite Gray Finish",119.99,93.59,5
FUR-BO-3623,"Bush Birmingham Collection Bookcase, Dark Cherry",130.98,104.78,5
FUR-BO-3624,"Bush Classic Bookcase, Metal",274.76,219.82,5
FUR-BO-3625,"Bush Classic Bookcase, Mobile",276.80,171.62,5
FUR-BO-3626,"Bush Classic Bookcase, Pine",276.02,146.30,5
FUR-BO-3627,"Bush Classic Bookcase, Traditional",275.12,264.12,5
FUR-BO-3628,"Bush Corner Shelving, Metal",82.30,71.62,5
FUR-BO-3629,"Bush Corner Shelving, Mobile",84.34,47.24,5
FUR-BO-3630,"Bush Corner Shelving, Pine",83.56,53.48,5
FUR-BO-3631,"Bush Corner Shelving, Traditional",82.66,62.84,5
FUR-BO-3632,"Bush Cubix Collection Bookcases, Fully Assembled",220.98,170.15,5
FUR-BO-3634,"Bush Floating Shelf Set, Metal",113.82,78.54,5
FUR-BO-3635,"Bush Floating Shelf Set, Mobile",115.86,85.74,5
FUR-BO-3636,"Bush Floating Shelf Set, Pine",115.08,82.86,5
FUR-BO-3637,"Bush Floating Shelf Set, Traditional",114.18,66.24,5
FUR-BO-3638,"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",140.98,112.78,5
FUR-BO-3639,"Bush Library with Doors, Metal",242.53,203.72,5
FUR-BO-3640,"Bush Library with Doors, Mobile",244.56,229.90,5
